strain,life_span,stim_a_1.5,stim_a_3,stim_a_4.5,stim_a_6,stim_a_8,stim_a_9.5,stim_a_11.5,stim_a_13,stim_a_15,stim_a_17,stim_a_19,stim_a_22,stim_a_26.5,stim_a_30,stim_a_33.5,base_a_1.5,base_a_3,base_a_4.5,base_a_6,base_a_8,base_a_9.5,base_a_11.5,base_a_13,base_a_15,base_a_17,base_a_19,base_a_22,base_a_26.5,base_a_30,base_a_33.5
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,19,101,150,2,235,340,181,0,105,79,15,NaN,NaN,NaN,NaN,NaN,120,154,217,308,248,255,0,48,18,0,NaN,NaN,NaN,NaN,NaN
N2,26.5,118,289,285,239,160,240,281,69,69,50,3,29,NaN,NaN,NaN,80,212,292,308,155,320,327,241,0,45,0,0,NaN,NaN,NaN
N2,26.5,112,189,272,247,245,260,200,54,27,46,8,0,NaN,NaN,NaN,126,295,176,288,105,168,128,106,196,39,0,5,NaN,NaN,NaN
N2,26.5,11,241,147,256,85,54,89,0,0,0,0,6,NaN,NaN,NaN,99,105,250,76,0,163,12,4,0,0,0,0,NaN,NaN,NaN
N2,15,96,133,8,197,29,174,65,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137,38,151,184,204,150,93,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,13,153,27,138,167,234,0,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,136,94,0,86,207,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,19,170,89,233,246,140,56,145,36,0,22,NaN,NaN,NaN,NaN,NaN,0,112,96,163,293,98,216,196,0,24,NaN,NaN,NaN,NaN,NaN
N2,22,16,0,26,32,14,91,76,0,8,0,43,NaN,NaN,NaN,NaN,117,127,21,0,33,130,189,0,0,0,0,NaN,NaN,NaN,NaN
N2,26.5,190,73,208,45,94,4,1,213,7,214,124,37,NaN,NaN,NaN,29,208,193,284,212,267,205,238,5,111,1,26,NaN,NaN,NaN
N2,13,5,159,131,222,161,31,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,133,167,188,107,23,128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,15,0,242,203,199,69,62,104,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,182,147,236,67,210,39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,17,18,152,111,91,112,61,71,149,30,NaN,NaN,NaN,NaN,NaN,NaN,0,58,120,34,46,88,120,249,5,NaN,NaN,NaN,NaN,NaN,NaN
N2,17,151,94,175,245,73,221,159,0,7,NaN,NaN,NaN,NaN,NaN,NaN,196,201,142,286,245,192,186,0,0,NaN,NaN,NaN,NaN,NaN,NaN
