strain	t97_mean	t89_mean	t97_t89_diff_mean
NIC529	14.525	9.755	4.77
NIC231	10.99	6.26	4.73
JU2513	24.04	11.04	13
NIC526	9.5	6.03	3.47
JU1652	12.5	8.5	4
JU561	12.5	9.03	3.47
QX1792	14.5	10.5	4
NIC261	15.3833333333333	10.2	5.18333333333333
QX1212	24.05	10.05	14
CB4854	15.05	10.01	5.04
NIC256	13.1766666666667	7.84333333333333	5.33333333333333
QX1793	14.69	9.86666666666667	4.82333333333333
NIC527	30.22	9.01	21.21
CB4932	14.2033333333333	9.02	5.18333333333333
QX1233	14.4266666666667	8.68666666666667	5.74
NIC271	18.05	14.05	4
ECA250	11.28	7.54	3.74
QW947	10.55	7.01	3.54
NIC1	17.01	6.275	10.735
ED3012	21.04	10.5	10.54
NIC3	13.5	9.03	4.47
NIC276	13.99	9.255	4.735
JU830	11.495	7.765	3.73
JU1581	12.5	7.5	5
JU1568	14.5	9.03	5.47
PS2025	14.67	10.36	4.31
LSJ1	18.0033333333333	8.36	9.64333333333333
JU1246	13.5	8.04	5.46
JU2522	12.5	9.03	3.47
JU782	12.265	8.495	3.77
NIC166	13.5166666666667	8.49	5.02666666666667
NIC277	11.6666666666667	7.18	4.48666666666667
JU394	11.49	8.03	3.46
NIC269	13.03	9.49	3.54
JU792	12.49	9.02	3.47
N2	27.02	20.035	6.985
CX11264	20.47	13.01	7.46
NIC274	14.05	9.01	5.04
JU1586	18.01	13.01	5
EG4724	9.48	6.02	3.46
GXW1	17.15	12.47	4.68
NIC258	10.01	6.47	3.54
JU397	10.01	6.47	3.54
NIC528	12.01	7.01	5
NIC262	13.47	10.01	3.46
JU2526	14.01	8.01	6
EG4946	13.51	7.51	6
ED3077	15.01	8.78	6.23
ED3048	21.78	18.12	3.66
JU323	17.05	6.78	10.27
JU1896	12.05	7.05	5
NIC267	14.78	7.775	7.005
ED3046	16.05	11.05	5
CX11276	15.05	8.51	6.54
MY1	10.05	6.04	4.01
QG2075	17.19	11.05	6.14
