strain	t97_mean	t89_mean	t97_t89_diff_mean
EG4724	10.49	7.525	2.965
JU1491	9.51	7.17666666666667	2.33333333333333
JU1652	12.5	8.5	4
JU397	10.26	7.76	2.5
JU561	12.5	9.03	3.47
JU642	9.26	7.03	2.23
NIC258	10.5	8.04	2.46
NIC262	10.51	7.99666666666667	2.51333333333333
NIC528	8.76	7.025	1.735
QX1792	11.1766666666667	8.33	2.84666666666667
WN2001	11.755	9.52	2.235
WN2002	9.81666666666667	7.50666666666667	2.31
ECA250	10.28	7.275	3.005
JU1580	9.51	7.28	2.23
NIC1	13.28	8.775	4.505
QG536	12.78	9.78	3
QW947	9.87	7.02333333333333	2.84666666666667
NIC261	13.78	9.28	4.5
QX1233	12.28	8.51	3.77
QX1793	13.51	9.68666666666667	3.82333333333333
MY1	10.55	7.275	3.275
NIC256	10.05	7.51	2.54
CX11264	14.035	11.765	2.27
JU1246	10.265	7.03	3.235
JU2522	12.995	9.76	3.235
JU782	11.8466666666667	8.48666666666667	3.36
NIC166	13.025	9.255	3.77
NIC277	11.505	7.505	4
JU1568	10.02	7.98	2.04
JU792	12.49	9.02	3.47
JU830	10.9933333333333	8.14666666666667	2.84666666666667
NIC199	11.02	8.83666666666667	2.18333333333333
NIC3	10.25	8.48	1.77
JU394	10.02	8.48	1.54
PS2025	13.48	10.02	3.46
N2	9.01	7.05	1.96
JU1212	8.02	5.48	2.54
JU2513	7.745	6.015	1.73
JU2526	12.015	7.515	4.5
NIC231	9.48	5.02	4.46
NIC529	7.02	5.02	2
QX1791	8.48	6.48	2
NIC526	12.01	9.01	3
CX11262	7.86666666666667	6.04666666666667	1.82
JU1896	8.35666666666667	5.71666666666667	2.64
JU751	8.895	6.645	2.25
NIC251	5.775	4.51	1.265
NIC259	8.02333333333333	5.69	2.33333333333333
NIC267	11.03	6.6425	4.3875
EG4347	9.01	6.51	2.5
QX1794	7.68666666666667	6.2	1.48666666666667
CX11292	5.05	4.05	1
ED3011	8.28	6.05	2.23
ED3046	7.51	5.05	2.46
ED3077	6.51	5.05	1.46
CX11315	14.51	11.51	3
EG4946	16.51	9.51	7
JU323	9.51	6.51	3
PB303	8.05	5.51	2.54
RC301	8.51	5.51	3
QG2075	17.19	11.05	6.14
