strain	t97_mean	t89_mean	t97_t89_diff_mean
NIC529	12.0233333333333	8.17666666666667	3.84666666666667
NIC231	10.4833333333333	6.66333333333333	3.82
JU1212	9.17666666666667	6.66333333333333	2.51333333333333
QX1791	10.8166666666667	8.33	2.48666666666667
JU2513	17.255	9.525	7.73
NIC526	9.66333333333333	7.02	2.64333333333333
EG4724	10.8166666666667	7.84	2.97666666666667
JU1491	9.51	7.17666666666667	2.33333333333333
JU1652	8.84333333333333	6.15	2.69333333333333
JU397	10.1766666666667	7.33	2.84666666666667
JU561	9.99666666666667	7.17333333333333	2.82333333333333
JU642	9.51	7.02333333333333	2.48666666666667
NIC258	10.255	7.255	3
NIC262	10.51	7.99666666666667	2.51333333333333
NIC528	9.84333333333333	7.02	2.82333333333333
QX1792	11.1766666666667	8.33	2.84666666666667
WN2001	10.1766666666667	8.17333333333333	2.00333333333333
WN2002	9.81666666666667	7.50666666666667	2.31
JU778	9.68666666666667	7.68666666666667	2
NIC261	13.915	9.4125	4.5025
MY1	10.2975	7.4125	2.885
QX1212	13.5275	8.5475	4.98
CB4854	13.0466666666667	9.02333333333333	4.02333333333333
NIC256	12.395	7.76	4.635
QX1793	14.145	9.7775	4.3675
NIC527	19.3825	7.895	11.4875
NIC195	8.9125	6.76	2.1525
CX11276	11.165	7.53	3.635
CB4932	14.2033333333333	9.02	5.18333333333333
QX1233	13.9475	8.8925	5.055
NIC271	15.87	12.5366666666667	3.33333333333333
ECA250	9.53	6.525	3.005
JU1580	9.5275	6.9125	2.615
NIC1	13.895	7.6425	6.2525
QG536	10.4125	7.78	2.6325
QW947	10.03	7.28	2.75
QG2075	12.25	8.69	3.56
NIC266	11.0033333333333	9.33333333333333	1.67
ED3012	15.755	9.255	6.5
NIC269	11.765	9.26	2.505
NIC3	11.505	8.75	2.755
NIC276	13.37	9.7525	3.6175
JU792	11.765	8.76	3.005
JU830	11.12	8.12	3
JU1581	13.495	9.495	4
JU1568	11.255	8.5	2.755
PS2025	14.255	10.2725	3.9825
LSJ1	16.2575	8.275	7.9825
NIC199	10.775	8.6375	2.1375
JU394	12.3333333333333	9.84666666666667	2.48666666666667
CX11264	16.505	12.89	3.615
JU1246	10.33	6.66333333333333	3.66666666666667
JU2522	12.735	9.6175	3.1175
JU782	11.005	7.985	3.02
NIC166	13.39	8.87	4.52
NIC277	11.505	7.505	4
N2	13.2944444444444	9.98111111111111	3.31333333333333
NIC274	12.155	8.27	3.885
JU1586	13.885	10.135	3.75
ED3040	21.095	19.095	2
JU367	12.05	10.05	2
JU1395	8.515	5.975	2.54
JU2526	12.015	7.515	4.5
GXW1	17.15	12.47	4.68
QX1794	7.5275	6.0275	1.5
EG4347	7.525	5.51	2.015
EG4946	10.28	6.51	3.77
ED3077	10.76	6.915	3.845
ED3048	16.87	13.7633333333333	3.10666666666667
CX11315	9.145	7.03	2.115
JU323	12.4125	6.145	6.2675
RC301	6.51	4.53	1.98
CX11262	7.86666666666667	6.04666666666667	1.82
JU1896	8.78	6.165	2.615
JU751	8.895	6.645	2.25
NIC259	8.2775	5.7775	2.5
NIC267	11.03	6.6425	4.3875
ED3011	8.20333333333333	6.04666666666667	2.15666666666667
PB303	7.35666666666667	5.02	2.33666666666667
CX11292	7.51	6.04	1.47
ED3046	11.2033333333333	7.71666666666667	3.48666666666667
NIC251	6.545	4.78	1.765
