strain	t97_mean	t89_mean	t97_t89_diff_mean
NIC529	14.525	9.755	4.77
NIC231	10.99	6.26	4.73
QX1791	12.5	9.5	3
JU2513	24.04	11.04	13
NIC526	10.755	7.52	3.235
JU1652	12.5	8.5	4
JU397	11.755	8.485	3.27
JU561	12.5	9.03	3.47
JU642	10.525	7.525	3
QX1792	13.255	9.755	3.5
WN2001	12.04	9.03	3.01
NIC261	15.3833333333333	10.2	5.18333333333333
QX1212	24.05	10.05	14
CB4854	15.05	10.01	5.04
NIC256	12.395	7.76	4.635
QX1793	14.145	9.7775	4.3675
NIC527	30.22	9.01	21.21
NIC195	10.78	8.01	2.77
CX11276	11.7166666666667	7.69	4.02666666666667
CB4932	14.2033333333333	9.02	5.18333333333333
QX1233	13.9475	8.8925	5.055
NIC271	15.87	12.5366666666667	3.33333333333333
ECA250	10.2033333333333	6.86333333333333	3.34
QG536	12.78	9.78	3
QW947	10.55	7.01	3.54
MY1	10.7166666666667	7.53333333333333	3.18333333333333
JU1580	9.545	6.545	3
QG2075	13.62	9.28	4.34
NIC1	17.01	6.275	10.735
ED3012	21.04	10.5	10.54
NIC3	12.76	9.02	3.74
NIC276	13.15	8.99333333333333	4.15666666666667
JU830	11.495	7.765	3.73
JU1581	13.495	9.495	4
JU1568	14.5	9.03	5.47
PS2025	14.255	10.2725	3.9825
LSJ1	16.2575	8.275	7.9825
JU1246	11.485	7.255	4.23
JU2522	12.735	9.6175	3.1175
JU782	12.265	8.495	3.77
NIC166	13.39	8.87	4.52
NIC277	11.6666666666667	7.18	4.48666666666667
JU394	11.49	8.03	3.46
NIC269	13.03	9.49	3.54
JU792	12.49	9.02	3.47
N2	19.535	14.6575	4.8775
CX11264	20.47	13.01	7.46
NIC274	14.05	9.69	4.36
JU1586	15.69	11.3566666666667	4.33333333333333
EG4724	10.475	7.245	3.23
JU2526	12.015	7.515	4.5
GXW1	17.15	12.47	4.68
NIC258	10.01	6.47	3.54
NIC528	12.01	7.01	5
JU1212	10.01	7.01	3
NIC262	13.47	10.01	3.46
EG4946	13.51	7.51	6
ED3077	15.01	8.78	6.23
NIC259	9.275	6.275	3
ED3048	21.78	18.12	3.66
JU323	14.5366666666667	6.69	7.84666666666667
ED3046	13.05	9.05	4
EG4347	9.51	6.51	3
JU1896	11.05	7.28	3.77
NIC267	14.78	7.775	7.005
CX11315	14.51	11.51	3
ED3011	10.05	7.05	3
JU751	10.05	7.51	2.54
PB303	8.05	5.51	2.54
RC301	8.51	5.51	3
