strain	t89_mean
CB4857	-0.173437079064894
CX11262	-0.888416746528142
CX11264	2.44007068775464
CX11292	-2.05062250178048
CX11315	2.29164207293526
ED3011	-0.886476503197172
ED3046	-1.46854950248883
ED3077	-1.46854950248883
EG4347	-0.618722923523011
EG4724	-0.0279188292419807
EG4946	1.12749607435195
JU1212	-1.21825811279341
JU1246	-0.31604496389135
JU1491	-0.230674257328572
JU1568	0.236924385435722
JU1652	0.539602345067382
JU1793	-0.170526714068436
JU1896	-1.08050083629439
JU2513	-0.90684905817238
JU2522	1.27301432417487
JU2526	-0.0337395592348977
JU323	-0.618722923523011
JU394	0.52796088508155
JU397	0.108868325591558
JU561	0.848101034691959
JU642	-0.31604496389135
JU751	-0.540143068618637
JU782	0.531841371743496
JU792	0.842280304699043
JU830	0.333936551984333
MY1	-0.173437079064894
N2	-0.304403503905517
NIC1	0.699672419872588
NIC166	0.979067459532582
NIC199	0.735566921495575
NIC231	-1.48601169246758
NIC251	-1.78286892210632
NIC256	-0.0366499242313559
NIC258	0.271848765393221
NIC259	-1.09602278294217
NIC261	0.993619284514873
NIC262	0.246625602090585
NIC267	-0.541598251116866
NIC277	-0.0395602892278141
NIC3	0.52796088508155
NIC526	0.836459574706126
NIC528	-0.318955328887808
NIC529	-1.48601169246758
PB303	-1.20079592281467
PS2025	1.4243533039907
QG2075	2.0238884932611
QG536	1.2846557841607
QW947	-0.319925450553296
QX1233	0.545423075060299
QX1791	-0.63618511350176
QX1792	0.440649935187801
QX1793	1.23032897089348
QX1794	-0.799165553303423
RC301	-1.20079592281467
WN2001	1.13331680434487
WN2002	-0.0385901675623258
