 CHR_A         BP_A       SNP_A      MAF_A  CHR_B         BP_B       SNP_B      MAF_B           R2 
     6      2845386   6:2845386   0.245902      6      1447600   6:1447600   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1447688   6:1447688   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1447721   6:1447721   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1447829   6:1447829  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1447975   6:1447975   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1448178   6:1448178  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1448489   6:1448489   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1448911   6:1448911   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1448912   6:1448912   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1448929   6:1448929   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1449751   6:1449751   0.114754     0.153362 
     6      2845386   6:2845386   0.245902      6      1449960   6:1449960   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1450006   6:1450006   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1450030   6:1450030   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1450321   6:1450321   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1450523   6:1450523   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1450548   6:1450548   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1450727   6:1450727  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1450832   6:1450832  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1451086   6:1451086   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1451088   6:1451088   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1451111   6:1451111   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1451635   6:1451635  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1451819   6:1451819   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1452012   6:1452012   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1452109   6:1452109   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1452232   6:1452232   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1453012   6:1453012  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1453138   6:1453138   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1453196   6:1453196  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1453816   6:1453816   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1454167   6:1454167  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1454316   6:1454316  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1454701   6:1454701  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1455110   6:1455110   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1455413   6:1455413   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1455457   6:1455457   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1455585   6:1455585   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1455627   6:1455627  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1455681   6:1455681  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1455768   6:1455768   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1455782   6:1455782   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1456136   6:1456136   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1456257   6:1456257  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1456595   6:1456595   0.196721    0.0852706 
     6      2845386   6:2845386   0.245902      6      1457007   6:1457007   0.196721    0.0852706 
