 CHR_A         BP_A        SNP_A      MAF_A  CHR_B         BP_B        SNP_B      MAF_B           R2 
     3     12671802   3:12671802   0.442623      3     12050787   3:12050787   0.147541   0.00837942 
     3     12671802   3:12671802   0.442623      3     12052119   3:12052119   0.360656     0.155527 
     3     12671802   3:12671802   0.442623      3     12052309   3:12052309   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12052551   3:12052551   0.442623     0.219408 
     3     12671802   3:12671802   0.442623      3     12052566   3:12052566  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12053176   3:12053176  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12053791   3:12053791   0.213115    0.0199867 
     3     12671802   3:12671802   0.442623      3     12054383   3:12054383  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12054883   3:12054883   0.131148    0.0227011 
     3     12671802   3:12671802   0.442623      3     12055847   3:12055847   0.327869     0.116393 
     3     12671802   3:12671802   0.442623      3     12056109   3:12056109   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12056142   3:12056142   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12056233   3:12056233   0.409836     0.283534 
     3     12671802   3:12671802   0.442623      3     12056271   3:12056271  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12056284   3:12056284   0.131148   0.00279782 
     3     12671802   3:12671802   0.442623      3     12056290   3:12056290  0.0983607    0.0336733 
     3     12671802   3:12671802   0.442623      3     12056340   3:12056340   0.295082    0.0202665 
     3     12671802   3:12671802   0.442623      3     12056490   3:12056490  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12056776   3:12056776    0.47541     0.224167 
     3     12671802   3:12671802   0.442623      3     12056802   3:12056802  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12056816   3:12056816  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12056869   3:12056869   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12057260   3:12057260   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12057322   3:12057322   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12057351   3:12057351   0.491803     0.259846 
     3     12671802   3:12671802   0.442623      3     12057584   3:12057584   0.393443     0.265247 
     3     12671802   3:12671802   0.442623      3     12057664   3:12057664  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12057937   3:12057937  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12057941   3:12057941   0.393443     0.265247 
     3     12671802   3:12671802   0.442623      3     12057952   3:12057952   0.393443     0.265247 
     3     12671802   3:12671802   0.442623      3     12057959   3:12057959   0.393443     0.265247 
     3     12671802   3:12671802   0.442623      3     12057966   3:12057966   0.393443     0.265247 
     3     12671802   3:12671802   0.442623      3     12057977   3:12057977   0.491803     0.259846 
     3     12671802   3:12671802   0.442623      3     12058472   3:12058472    0.47541     0.224167 
     3     12671802   3:12671802   0.442623      3     12058498   3:12058498   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12058821   3:12058821  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12059004   3:12059004   0.196721    0.0118566 
     3     12671802   3:12671802   0.442623      3     12059478   3:12059478   0.442623     0.219408 
     3     12671802   3:12671802   0.442623      3     12059499   3:12059499   0.377049     0.215691 
     3     12671802   3:12671802   0.442623      3     12059500   3:12059500   0.377049     0.215691 
     3     12671802   3:12671802   0.442623      3     12059527   3:12059527   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12059553   3:12059553   0.147541   0.00894736 
     3     12671802   3:12671802   0.442623      3     12060333   3:12060333   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12061580   3:12061580   0.377049     0.215691 
     3     12671802   3:12671802   0.442623      3     12061797   3:12061797  0.0983607    0.0221958 
     3     12671802   3:12671802   0.442623      3     12061885   3:12061885  0.0983607    0.0336733 
     3     12671802   3:12671802   0.442623      3     12061886   3:12061886   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12062407   3:12062407   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12062662   3:12062662  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12062672   3:12062672  0.0983607    0.0221958 
     3     12671802   3:12671802   0.442623      3     12062692   3:12062692  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12062890   3:12062890   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12062935   3:12062935   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12063053   3:12063053   0.377049     0.215691 
     3     12671802   3:12671802   0.442623      3     12063406   3:12063406   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12063781   3:12063781   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12064252   3:12064252  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12064261   3:12064261  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12064772   3:12064772   0.196721  0.000668786 
     3     12671802   3:12671802   0.442623      3     12064773   3:12064773   0.196721  0.000668786 
     3     12671802   3:12671802   0.442623      3     12065110   3:12065110   0.180328  0.000126758 
     3     12671802   3:12671802   0.442623      3     12065159   3:12065159   0.327869     0.116393 
     3     12671802   3:12671802   0.442623      3     12065627   3:12065627   0.295082    0.0202665 
     3     12671802   3:12671802   0.442623      3     12065672   3:12065672  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12065727   3:12065727  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12065917   3:12065917  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12066072   3:12066072  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12066125   3:12066125   0.327869   0.00359211 
     3     12671802   3:12671802   0.442623      3     12066151   3:12066151   0.114754    0.0472156 
     3     12671802   3:12671802   0.442623      3     12066153   3:12066153   0.114754    0.0472156 
     3     12671802   3:12671802   0.442623      3     12066170   3:12066170   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12066272   3:12066272   0.295082     0.186474 
     3     12671802   3:12671802   0.442623      3     12066666   3:12066666  0.0819672    0.0213041 
     3     12671802   3:12671802   0.442623      3     12066674   3:12066674  0.0819672    0.0213041 
     3     12671802   3:12671802   0.442623      3     12066689   3:12066689   0.131148    0.0227011 
     3     12671802   3:12671802   0.442623      3     12067064   3:12067064   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12067101   3:12067101  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12067383   3:12067383  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12067458   3:12067458  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12067470   3:12067470  0.0819672    0.0213041 
     3     12671802   3:12671802   0.442623      3     12067471   3:12067471   0.131148    0.0227011 
     3     12671802   3:12671802   0.442623      3     12067974   3:12067974  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12067976   3:12067976   0.327869   0.00359211 
     3     12671802   3:12671802   0.442623      3     12068154   3:12068154  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12068263   3:12068263  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12068332   3:12068332   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12068355   3:12068355  0.0655738     0.010554 
     3     12671802   3:12671802   0.442623      3     12068743   3:12068743   0.344262     0.191223 
     3     12671802   3:12671802   0.442623      3     12069145   3:12069145   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12069164   3:12069164   0.147541   0.00894736 
     3     12671802   3:12671802   0.442623      3     12069168   3:12069168   0.147541   0.00894736 
     3     12671802   3:12671802   0.442623      3     12069307   3:12069307   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12069319   3:12069319  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12069512   3:12069512  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12069515   3:12069515  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12069521   3:12069521   0.377049     0.215691 
     3     12671802   3:12671802   0.442623      3     12069584   3:12069584   0.163934   0.00261652 
     3     12671802   3:12671802   0.442623      3     12069638   3:12069638   0.262295  3.78238e-05 
     3     12671802   3:12671802   0.442623      3     12070055   3:12070055  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12070963   3:12070963  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12071181   3:12071181  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12071226   3:12071226   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12071668   3:12071668   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12071789   3:12071789  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12071797   3:12071797   0.114754    0.0129365 
     3     12671802   3:12671802   0.442623      3     12071807   3:12071807  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12071810   3:12071810   0.311475     0.374815 
     3     12671802   3:12671802   0.442623      3     12073875   3:12073875  0.0819672    0.0213041 
     3     12671802   3:12671802   0.442623      3     12074009   3:12074009  0.0983607   0.00528157 
     3     12671802   3:12671802   0.442623      3     12074216   3:12074216   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12074410   3:12074410   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12074419   3:12074419   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12074687   3:12074687   0.114754  0.000103745 
     3     12671802   3:12671802   0.442623      3     12074771   3:12074771   0.131148   0.00201422 
     3     12671802   3:12671802   0.442623      3     12074899   3:12074899   0.491803     0.171819 
     3     12671802   3:12671802   0.442623      3     12075759   3:12075759   0.147541   0.00837942 
     3     12671802   3:12671802   0.442623      3     12076353   3:12076353   0.459016     0.127608 
     3     12671802   3:12671802   0.442623      3     12076445   3:12076445  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12076960   3:12076960  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12076964   3:12076964  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12077115   3:12077115  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12077174   3:12077174  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12077332   3:12077332  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12077373   3:12077373  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12077763   3:12077763  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12077883   3:12077883  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12078142   3:12078142  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12078264   3:12078264   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12078389   3:12078389  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12078730   3:12078730  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12078837   3:12078837  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12078991   3:12078991  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12079565   3:12079565  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12079701   3:12079701    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12079957   3:12079957  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12080174   3:12080174   0.311475     0.374815 
     3     12671802   3:12671802   0.442623      3     12080574   3:12080574   0.114754    0.0129365 
     3     12671802   3:12671802   0.442623      3     12080596   3:12080596    0.47541     0.224167 
     3     12671802   3:12671802   0.442623      3     12080737   3:12080737  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12080949   3:12080949  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12081533   3:12081533   0.311475     0.374815 
     3     12671802   3:12671802   0.442623      3     12081771   3:12081771   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12081995   3:12081995  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12082040   3:12082040   0.114754    0.0129365 
     3     12671802   3:12671802   0.442623      3     12082159   3:12082159    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12082385   3:12082385  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12082590   3:12082590   0.459016     0.253817 
     3     12671802   3:12671802   0.442623      3     12082718   3:12082718  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12082797   3:12082797    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12082836   3:12082836    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12082909   3:12082909    0.47541     0.148768 
     3     12671802   3:12671802   0.442623      3     12082936   3:12082936    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12082946   3:12082946    0.47541     0.148768 
     3     12671802   3:12671802   0.442623      3     12082959   3:12082959    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12082975   3:12082975  0.0655738    0.0557276 
     3     12671802   3:12671802   0.442623      3     12083053   3:12083053   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12083127   3:12083127    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12083172   3:12083172    0.42623     0.188667 
     3     12671802   3:12671802   0.442623      3     12083626   3:12083626   0.114754    0.0129365 
     3     12671802   3:12671802   0.442623      3     12084003   3:12084003   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12084282   3:12084282   0.393443     0.185628 
     3     12671802   3:12671802   0.442623      3     12084451   3:12084451  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12084764   3:12084764   0.360656     0.214464 
     3     12671802   3:12671802   0.442623      3     12085156   3:12085156  0.0655738  0.000936437 
     3     12671802   3:12671802   0.442623      3     12085274   3:12085274   0.147541   0.00837942 
     3     12671802   3:12671802   0.442623      3     12085743   3:12085743   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085753   3:12085753   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085761   3:12085761   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085763   3:12085763   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085798   3:12085798   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085813   3:12085813   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085821   3:12085821   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085823   3:12085823   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085827   3:12085827   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085828   3:12085828   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085834   3:12085834   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085837   3:12085837   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085838   3:12085838   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085845   3:12085845   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085847   3:12085847   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085851   3:12085851   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085855   3:12085855   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085890   3:12085890   0.245902  0.000764106 
     3     12671802   3:12671802   0.442623      3     12085910   3:12085910   0.245902  0.000764106 
