 CHR_A         BP_A       SNP_A      MAF_A  CHR_B         BP_B       SNP_B      MAF_B           R2 
     2       873169    2:873169   0.245902      2         2419      2:2419   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         2427      2:2427   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         2438      2:2438   0.295082     0.399663 
     2       873169    2:873169   0.245902      2         2714      2:2714  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2         2951      2:2951  0.0655738     0.215205 
     2       873169    2:873169   0.245902      2         2970      2:2970   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         3310      2:3310   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         3329      2:3329   0.180328     0.274912 
     2       873169    2:873169   0.245902      2         4471      2:4471   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         4512      2:4512  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2         4688      2:4688   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         4836      2:4836   0.180328     0.274912 
     2       873169    2:873169   0.245902      2         4917      2:4917   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         6147      2:6147   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         6368      2:6368   0.459016     0.384317 
     2       873169    2:873169   0.245902      2         6418      2:6418   0.459016     0.384317 
     2       873169    2:873169   0.245902      2         7007      2:7007  0.0655738     0.096167 
     2       873169    2:873169   0.245902      2         7028      2:7028  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2         7044      2:7044  0.0655738     0.215205 
     2       873169    2:873169   0.245902      2         7241      2:7241   0.459016     0.384317 
     2       873169    2:873169   0.245902      2         7346      2:7346  0.0983607     0.104155 
     2       873169    2:873169   0.245902      2         7733      2:7733  0.0819672    0.0291149 
     2       873169    2:873169   0.245902      2         7806      2:7806   0.180328     0.274912 
     2       873169    2:873169   0.245902      2         7827      2:7827  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2         8060      2:8060   0.180328     0.274912 
     2       873169    2:873169   0.245902      2         8153      2:8153  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2         8254      2:8254   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         8570      2:8570  0.0983607     0.104155 
     2       873169    2:873169   0.245902      2         9049      2:9049   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         9186      2:9186   0.459016     0.384317 
     2       873169    2:873169   0.245902      2         9239      2:9239   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2         9405      2:9405   0.180328     0.274912 
     2       873169    2:873169   0.245902      2         9780      2:9780   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2        10235     2:10235  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2        10418     2:10418   0.114754    0.0740779 
     2       873169    2:873169   0.245902      2        10516     2:10516  0.0819672     0.147831 
     2       873169    2:873169   0.245902      2        10674     2:10674  0.0655738     0.215205 
     2       873169    2:873169   0.245902      2        11344     2:11344   0.180328     0.274912 
     2       873169    2:873169   0.245902      2        11474     2:11474  0.0655738     0.096167 
