"","s_label","species","strain","c_label","latitude","longitude","landscape","substrate","substrate_other","substrate_temperature","ambient_temperature","substrate_moisture","ambient_humidity","photo_url","po_created_by","sampled_by","date","island"
"1","S-05886","Caenorhabditis elegans","ECA701","C-1175",22.123283,-159.656428,"Wild forest","Rotting flower",NA,19.2,21.9,NA,79.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1175.jpg","joost.vanderzwaag@wur.nl","dec@u.northwestern.edu",2017-08-11,"Kauai"
"2","S-05894","Caenorhabditis elegans","ECA702","C-1175",22.123283,-159.656428,"Wild forest","Rotting flower",NA,19.2,21.9,NA,79.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1175.jpg","joost.vanderzwaag@wur.nl","dec@u.northwestern.edu",2017-08-11,"Kauai"
"3","S-05962","Caenorhabditis elegans","ECA703","C-3133",20.038831,-155.438922,"Wild forest","Leaf litter",NA,18.7,23.3,65,75,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-13,"Big Island"
"4","S-05967","Caenorhabditis elegans","ECA704","C-3164",20.039783,-155.441517,"Wild forest","Fruit/nut/vegetable",NA,21.2,23.3,NA,75.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"5","S-05984","Caenorhabditis elegans","ECA705","C-3133",20.038831,-155.438922,"Wild forest","Leaf litter",NA,18.7,23.3,65,75,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-13,"Big Island"
"6","S-05986","Caenorhabditis elegans","ECA706","C-3133",20.038831,-155.438922,"Wild forest","Leaf litter",NA,18.7,23.3,65,75,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-13,"Big Island"
"7","S-06003","Caenorhabditis elegans","ECA707","C-3164",20.039783,-155.441517,"Wild forest","Fruit/nut/vegetable",NA,21.2,23.3,NA,75.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"8","S-06025","Caenorhabditis elegans","ECA708","C-3164",20.039783,-155.441517,"Wild forest","Fruit/nut/vegetable",NA,21.2,23.3,NA,75.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"9","S-06026","Caenorhabditis elegans","ECA709","C-3164",20.039783,-155.441517,"Wild forest","Fruit/nut/vegetable",NA,21.2,23.3,NA,75.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"10","S-06046","Caenorhabditis elegans","ECA710","C-3178",20.039656,-155.438103,"Wild forest","Leaf litter",NA,20.5,21.9,64,75.5,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3178.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
